week52change;week52high;week52low;marketcap;employees;day200MovingAvg;day50MovingAvg;float;avg10Volume;avg30Volume;ttmEPS;ttmDividendRate;companyName;sharesOutstanding;maxChangePercent;year5ChangePercent;year2ChangePercent;year1ChangePercent;ytdChangePercent;month6ChangePercent;month3ChangePercent;month1ChangePercent;day30ChangePercent;day5ChangePercent;nextDividendDate;dividendYield;nextEarningsDate;exDividendDate;peRatio;beta;symbol
0.35873362770426964;17.7;12.85;287392392.0;;15.91;16.65;;356108.9;390608.9;;;Perth Mint Physical Gold ETF;16309822;0.4826;0.4697;0.4779;0.362777;0.1295;0.181052;0.040083;0.003572;0.025458;-0.010586;;;;;;0.05150974906889212;AAAU
0.042475;59.86;34.94;72333030.0;;50.88;43.46;;6138.9;6169.2;;0.3147;WCM/BNY Mellon Focused Growth ADR ETF;1539432;0.9598;0.1757;-0.2073;0.043029;-0.136732;-0.049204;-0.13365;0.0607;0.1002;0.02291;2020-06-13;0.006655072452453544;;2020-03-14;;0.8935769159465695;AADR
-0.028497;76.84;53.32;3745452633.0;;68.27;63.59;;1195874.4;1164153.01;;1.3474;iShares MSCI All Country Asia ex Japan ETF;56697409;0.2913;-0.0464;-0.1607;-0.02961;-0.147523;-0.08187;-0.068991;0.023553;0.0507;0.018266;2020-06-13;0.02174446541845589;;2019-12-01;;0.8266708763688164;AAXJ
-0.123644;29.4;18.45;26725336.0;;22.36;21.62;;17985.9;14352.17;;;Absolute Core Equity ETF;1219017;-0.1263;-0.1221;-0.1277;-0.1253;-0.126562;-0.122875;-0.109693;0.025871;0.009882;0.021413;;;;;;0.4217764679671494;ABEQ
0.257065;45.36;24.25;170666218.0;;33.84;31.81;;35827.1;32370.49;;0.6638;ALPS Clean Energy ETF;4942616;0.3941;0.3947;0.3935;0.249565;0.023302;0.108638;-0.15788;0.124534;0.120992;0.065601;;0.018743757737894506;;2020-03-06;;1.146436541101327;ACES
-0.037283;28.4;21.82;118774136.0;;25.65;23.66;;18656.7;14494.22;;0.45;Aptus Collared Income Opportunity ETF;4891009;-0.0371;-0.0367;-0.0384;-0.037389;-0.060991;-0.040728;-0.023087;0.020475;0.029412;0.009826;;0.01884766374641313;;2020-03-03;;-0.02616167003460728;ACIO
-0.080305;29.02;19.13;7326670.0;;25.98;22.35;;651.0;756.16;;0.914;Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF;313306;-0.017;-0.017;-0.017;-0.078555;-0.170049;-0.135044;-0.115392;0.04152;0.04052;0.035719;;0.0383226769286629;;2019-12-18;;0.841401841419119;ACSG
-0.050249;38.66;24.76;50320278.0;;33.56;30.2;;430.3;302.0;;0.605;American Customer Satisfaction Core Alpha ETF;1611881;0.2698;0.2722;0.0;-0.052575;-0.117447;-0.103566;-0.13602;0.049979;0.042798;0.042439;;0.018724293451023746;;2019-12-22;;0.9626959515814044;ACSI
-0.11900244599848545;26.1;16.36;10048871.0;;24.14;20.55;;3425.9;3369.33;;0.6282;AdvisorShares Vice ETF;462412;-0.1264;-0.1235;-0.1236;-0.11981;-0.123826;-0.106429;-0.116961;0.059372;0.079225;0.044505;2020-12-18;0.029448933704790407;;2019-12-13;;0.8123769299840669;ACT
-0.05635216205308906;32.21;21.4;106860544.0;;29.09;24.96;;15507.8;13551.5;;0.7611;iShares FactorSelect MSCI Global ETF;4022601;0.061;0.053;-0.148;-0.05636;-0.155352;-0.122474;-0.122251;0.049348;0.042877;0.039381;2020-06-04;0.0286296721894349;;2019-12-15;;0.9589361318967577;ACWF
